Repository Name,File Name,Line Number,Task Name,Smell Name
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_mgmt_agent,sample.yaml,8,Task 1,Broken Dependency Chain
Repository Name,File Name,Line Number,Task Name,Smell Name
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_mgmt_agent,sample.yaml,11,Download Agent,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_mgmt_agent,sample.yaml,12,Task 3,Assumption about Environment
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_mgmt_agent,sample.yaml,27,Install Agent,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_mgmt_agent,sample.yaml,28,Task 5,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_mgmt_agent,sample.yaml,33,Setup Agent,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_mgmt_agent,sample.yaml,39,Remove input.rsp file,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_mgmt_agent,sample.yaml,43,Remove agent rpm file,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_mgmt_agent,sample.yaml,51,Create directory for usagetracker,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_mgmt_agent,sample.yaml,58,Create properties file for usagetracker,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_mgmt_agent,sample.yaml,61,Task 11,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_mgmt_agent,sample.yaml,66,Create directory for usagetracker logs,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_mgmt_agent,sample.yaml,75,Create file for usagetracker logs,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_mgmt_agent,sample.yaml,83,Install logrotate,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_mgmt_agent,sample.yaml,90,Task 15,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_mgmt_agent,sample.yaml,94,Task 16,Broken Dependency Chain
